Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,984615,546593
503,489975,51953
996,761186,323164
1490,1619005,1180983
1994,1937513,1499491
2497,2101897,1663875
3008,1017606,579584
3513,1201143,763121
4018,2351698,1913676
4512,3430808,2992786
5014,3424933,2986911
5516,2567633,2129611
6021,2491337,2053315
6546,1123220,685198
7035,1658552,1220530
7530,2846767,2408745
8031,2498870,2060848
8537,1544470,1106448
9038,1191221,753199
9501,1172690,734668
10022,145406,0
10523,173965,0
11025,313846,0
11528,255118,0
12015,1053683,615661
12519,312149,0
13023,357488,0
13527,284532,0
14027,516246,78224
14537,252806,0
15051,71414,0
15544,256089,0
16055,69455,0
16549,298771,0
17060,119491,0
17556,354299,0
18006,341452,0
18524,91037,0
19017,275788,0
19531,85186,0
20029,246675,0
20541,86601,0
21045,98169,0
21549,85418,0
22054,77110,0
22560,87445,0
23059,95965,0
23567,136951,0
24075,164245,0
24576,191649,0
25032,189547,0
25537,104246,0
26040,153367,0
26550,101353,0
27053,118282,0
27559,76368,0
28061,112703,0
28565,139569,0
29071,108239,0
29581,76640,0
30082,127429,0
30587,95965,0
31087,144610,0
31543,106654,0
32042,228863,0
32554,120932,0
33053,185383,0
33565,144785,0
34055,361152,0
34567,140940,0
35078,81865,0
35584,85349,0
36088,182380,0
36591,108239,0
37078,915421,477399
,,
,,
,,
