Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,389073,16441
491,1613271,1240639
998,1641951,1269319
1496,2523873,2151241
2004,2767656,2395024
2506,3018345,2645713
3011,2853697,2481065
3506,2559723,2187091
4017,2523873,2151241
4516,2208388,1835756
5017,1987802,1615170
5520,1908931,1536299
6022,1261936,889304
6523,1240426,867794
7024,975132,602500
7529,932112,559480
8033,1347977,975345
8484,932112,559480
8986,1025323,652691
9489,1104194,731562
9991,989472,616840
10493,1168725,796093
10998,1527230,1154598
11507,1634781,1262149
12006,953622,580990
12506,1089854,717222
13006,975132,602500
13509,1046833,674201
14010,953622,580990
14511,989472,616840
15015,932112,559480
15517,932112,559480
16019,1032493,659861
16521,953622,580990
17024,1118534,745902
17526,1003813,631181
18027,975132,602500
18535,1054003,681371
19035,946452,573820
19537,1061173,688541
20041,975132,602500
20494,1018153,645521
20994,1061173,688541
21497,1010983,638351
21999,967962,595330
22504,881921,509289
23006,1068344,695712
23509,1075514,702882
24009,1032493,659861
24513,989472,616840
25014,989472,616840
25520,924942,552310
26027,996643,624011
26522,1003813,631181
27025,1075514,702882
27526,960792,588160
28029,1147215,774583
28529,953622,580990
29033,982302,609670
29535,975132,602500
30037,975132,602500
30543,1247596,874964
31050,1462699,1090067
31549,1818462,1445830
32001,1806863,1434231
32505,946452,573820
33003,1290616,917984
33507,903431,530799
34012,1075514,702882
34514,1104194,731562
35016,1046833,674201
35518,1075514,702882
36018,975132,602500
36525,1032493,659861
37029,1577420,1204788
,,
,,
