Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,963178,742746
500,1296207,1075775
998,1385033,1164601
1501,1881361,1660929
2008,3296387,3075955
2502,4235996,4015564
3005,3521228,3300796
3505,2278920,2058488
4007,2251268,2030836
4521,2700634,2480202
5013,3070454,2850022
5517,2700758,2480326
6018,2181983,1961551
6522,2539367,2318935
7026,1256193,1035761
7527,1292167,1071735
8029,1655943,1435511
8535,2314947,2094515
9038,1657510,1437078
9490,1219742,999310
9995,1156941,936509
10497,1137623,917191
11003,1065978,845546
11506,1974926,1754494
12008,1411008,1190576
12508,1621257,1400825
13010,1434485,1214053
13515,1497968,1277536
14018,1138637,918205
14521,1199126,978694
15026,1109261,888829
15526,1137185,916753
16031,1148217,927785
16533,1076695,856263
17039,1125273,904841
17540,1164617,944185
18042,1600438,1380006
18497,1124717,904285
18998,1957220,1736788
19502,1347981,1127549
20005,1141168,920736
20510,1655650,1435218
21014,1117592,897160
21518,1273494,1053062
22024,1133269,912837
22525,1162323,941891
23029,1296457,1076025
23532,1114822,894390
24039,1171862,951430
24540,1337373,1116941
25044,1302017,1081585
25548,1125273,904841
26051,190162,0
26503,1024463,804031
27007,1866433,1646001
27509,807796,587364
28015,1094477,874045
28517,1164051,943619
29022,1300499,1080067
29526,1125430,904998
30030,1128757,908325
30531,1143400,922968
31035,3329673,3109241
31541,2074010,1853578
32041,2579619,2359187
32544,1172443,952011
33049,1117435,897003
33549,1147361,926929
34052,1317674,1097242
34556,1140236,919804
35060,1141264,920832
35511,1139522,919090
36017,1128043,907611
36519,1293933,1073501
37021,792849,572417
,,
,,
,,
