Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
42,569889,25360
496,767791,223262
994,1179320,634791
1495,2507350,1962821
1996,3601836,3057307
2504,2633613,2089084
3002,1507009,962480
3505,2143254,1598725
4007,1505167,960638
4513,2609932,2065403
5011,2499163,1954634
5516,1222489,677960
6018,1698832,1154303
6523,529222,0
7025,781297,236768
7530,1196900,652371
8033,1118148,573619
8537,1666243,1121714
8991,1270148,725619
9495,1391422,846893
9997,1132555,588026
10500,1310349,765820
11002,2316280,1771751
11506,1429907,885378
12005,1224215,679686
12507,1349525,804996
13013,1212038,667509
13518,1320460,775931
14032,1134454,589925
14520,1497908,953379
15021,1129459,584930
15521,1634433,1089904
16026,1439204,894675
16527,1120048,575519
17030,1324240,779711
17535,1126144,581615
18038,1333083,788554
18543,1861275,1316746
18995,1316915,772386
19498,1141734,597205
20001,1333331,788802
20504,1149102,604573
21007,1475382,930853
21514,1131369,586840
22014,1338890,794361
22519,1091864,547335
23020,1178007,633478
23523,1822806,1278277
24028,1303023,758494
24534,1089420,544891
25036,1155496,610967
25559,487036,0
26049,1770697,1226168
26550,2737485,2192956
27052,1353791,809262
27570,1112209,567680
28010,1494695,950166
28528,1112209,567680
29016,1433583,889054
29530,1110468,565939
30035,1122279,577750
30530,1348989,804460
31040,1121789,577260
31531,1957087,1412558
32048,1108726,564197
32537,1625640,1081111
33058,1107855,563326
33552,1204163,659634
34058,1101444,556915
34548,1541222,996693
35064,1947085,1402556
35567,1103186,558657
36062,1339898,795369
36575,1134853,590324
,,
,,
