Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
12,1265129,721008
495,885375,341254
992,767995,223874
1494,1147275,603154
1995,2897665,2353544
2499,3252057,2707936
3001,3306654,2762533
3503,3738067,3193946
4006,2413330,1869209
4507,2400599,1856478
5013,2667113,2122992
5518,1397139,853018
6022,1950105,1405984
6524,1845804,1301683
7032,1945073,1400952
7534,1504524,960403
8034,1720181,1176060
8489,1126459,582338
8995,1652211,1108090
9503,1294691,750570
10019,1098831,554710
10524,1129628,585507
11020,1183946,639825
11514,2342230,1798109
12010,1503557,959436
12514,1406459,862338
13013,1337735,793614
13518,1229067,684946
14024,1067240,523119
14524,1192326,648205
15028,1030060,485939
15529,1260289,716168
16032,999959,455838
16534,1096765,552644
17040,1127886,583765
17491,1519231,975110
17995,2212820,1668699
18499,1121409,577288
19000,2203970,1659849
19503,1193318,649197
20009,1116564,572443
20527,1168530,624409
21032,1139236,595115
21537,1130825,586704
22038,1137466,593345
22541,1040635,496514
23044,1150095,605974
23551,123685,0
24054,586172,42051
24557,655393,111272
25062,662360,118239
25566,664505,120384
26025,896216,352095
26525,553684,9563
27019,1097673,553552
27529,1118306,574185
28033,1130499,586378
28526,1393835,849714
29041,1110468,566347
29544,1138881,594760
30041,1247028,702907
30550,1114659,570538
31055,622089,77968
31557,619476,75355
32060,636427,92306
32562,1549885,1005764
33066,620347,76226
33569,637532,93411
34074,625572,81451
34528,645658,101537
35035,622089,77968
35537,632540,88419
36041,1300499,756378
36531,2454009,1909888
,,
,,
