Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,506693,53963
486,618231,165501
985,829087,376357
1483,3345268,2892538
1985,1984950,1532220
2497,1683552,1230822
3026,270678,0
3509,992979,540249
4015,939282,486552
4519,1018153,565423
4998,44312,0
5500,108670,0
5995,173674,0
6519,42674,0
7028,42474,0
7539,53607,0
8048,39661,0
8504,61078,0
9015,26127,0
9520,110303,0
10028,55429,0
10536,78405,0
11050,28740,0
11558,49750,0
12039,639259,186529
12543,315078,0
12999,83298,0
13510,20076,0
14013,28740,0
14516,22643,0
15018,22643,0
15522,17418,0
16022,35707,0
16529,31352,0
17032,27869,0
17536,29611,0
18042,31352,0
18548,26998,0
19057,41150,0
19558,55847,0
20062,28740,0
20566,26998,0
21023,21772,0
21530,38320,0
22034,28740,0
22538,31352,0
23043,32223,0
23548,18289,0
24053,40061,0
24561,32223,0
25063,39191,0
25569,35707,0
26083,23514,0
26540,53942,0
27050,33965,0
27558,32223,0
28063,67737,0
28576,32120,0
29085,37449,0
29542,38216,0
30062,34836,0
30566,34836,0
31073,36442,0
31560,910601,457871
32085,36847,0
32569,566437,113707
33095,43414,0
33546,82180,0
34062,33094,0
34568,42321,0
35072,37518,0
35577,46158,0
36092,37919,0
36582,344103,0
,,
,,
