Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
82,995054,488336
499,1155286,648568
991,1483654,976936
1494,2138396,1631678
1996,3490345,2983627
2499,3047062,2540344
3001,1784657,1277939
3503,1808900,1302182
4006,1993732,1487014
4515,563387,56669
5019,900894,394176
5538,81247,0
6047,70980,0
6551,61617,0
7043,210124,0
7559,73612,0
8065,59222,0
8517,47029,0
9013,226540,0
9533,80857,0
10037,61846,0
10540,80342,0
11048,67942,0
11557,121494,0
12050,142959,0
12542,450769,0
13046,176312,0
13551,158649,0
14064,47900,0
14566,40061,0
15070,53996,0
15574,41803,0
16027,36578,0
16528,47900,0
17033,35707,0
17539,55902,0
18041,256906,0
18547,56609,0
19051,50512,0
19556,51383,0
20062,43545,0
20570,52254,0
21073,70682,0
21578,51383,0
22086,62025,0
22538,80665,0
23042,51383,0
23539,184831,0
24057,54008,0
24563,74598,0
25070,49641,0
25571,62379,0
26078,74300,0
26585,63250,0
27086,76995,0
27592,69727,0
28053,56391,0
28556,53125,0
29060,68584,0
29565,57480,0
30071,56609,0
30575,91183,0
31081,108808,0
31590,64447,0
32096,121001,0
32599,90180,0
33107,104184,0
33544,767200,260482
34060,61846,0
34566,56609,0
35076,41803,0
35579,43545,0
36084,41803,0
36568,609457,102739
,,
,,
,,
