Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
26,1215148,504484
493,1269406,558742
1002,2416464,1705800
1501,2176303,1465639
2003,2670356,1959692
2519,1184117,473453
3031,76450,0
3540,82231,0
4043,60120,0
4547,60092,0
5054,58623,0
5553,233107,0
6018,65836,0
6529,51052,0
7038,53125,0
7544,31352,0
8030,537757,0
8540,331577,0
9049,345917,0
9550,25290,0
10024,151421,0
10529,203781,0
11013,894680,184016
11514,872380,161716
12018,858823,148159
12522,784889,74225
13026,824560,113896
13526,820897,110233
14028,940094,229430
14526,853241,142577
15042,13063,0
15546,27869,0
16053,12192,0
16557,40932,0
17063,33802,0
17570,39191,0
18073,40061,0
18528,35707,0
19036,32208,0
19539,36578,0
20045,26998,0
20550,32223,0
21056,37483,0
21562,37449,0
22068,38458,0
22574,29611,0
23079,30481,0
23586,53125,0
24041,54431,0
24530,688329,0
25053,83282,0
25573,49911,0
26069,48439,0
26575,65124,0
27085,54805,0
27599,35707,0
28050,38320,0
28558,52192,0
29067,36578,0
29575,34836,0
30081,34836,0
30587,31352,0
31103,41456,0
31588,1369331,658667
32063,23113,0
32562,103113,0
33085,34836,0
33582,37919,0
34091,44216,0
34600,29210,0
35109,31822,0
35568,81201,0
36080,32292,0
36563,470101,0
,,
,,
