Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
19,1428871,1069670
499,831199,471998
997,919288,560087
1504,1780191,1420990
2003,3003540,2644339
2507,3284175,2924974
3010,1931638,1572437
3506,1524431,1165230
4011,1699763,1340562
4515,1157969,798768
5024,1103196,743995
5529,51429,0
6055,51395,0
6548,54867,0
7053,57480,0
7558,82574,0
7999,487566,128365
8519,37460,0
9016,163215,0
9526,68813,0
10027,92340,0
10536,61032,0
11036,54867,0
11532,473185,113984
12059,73211,0
12538,648051,288850
13040,147870,0
13545,125220,0
14066,33356,0
14561,51383,0
15064,46158,0
15566,51330,0
16022,35707,0
16526,41422,0
17026,40932,0
17528,178859,0
18020,262656,0
18537,32223,0
19044,78382,0
19549,41803,0
20055,60963,0
20556,65318,0
21061,36377,0
21565,51982,0
22074,52254,0
22576,51383,0
23032,48771,0
23536,50131,0
24039,68802,0
24546,50512,0
25036,795880,436679
25556,40932,0
26057,39191,0
26565,40061,0
27069,48771,0
27578,48405,0
28084,64516,0
28589,47029,0
29043,45287,0
29549,46158,0
30056,50512,0
30562,52254,0
31065,45287,0
31568,45287,0
32071,86828,0
32583,40932,0
33088,40932,0
33592,54867,0
34095,47900,0
34603,56007,0
35065,43545,0
35570,52254,0
36070,95800,0
36559,410893,51692
,,
,,
,,
