Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
35,1636481,562124
499,1489708,415351
999,2305191,1230834
1504,3161654,2087297
1999,2136818,1062461
2507,1400381,326024
3033,269215,0
3546,52392,0
4047,68905,0
4557,30281,0
5084,59857,0
5524,115790,0
6015,480396,0
6532,40967,0
7047,60500,0
7558,46897,0
8064,58019,0
8573,37449,0
9026,59228,0
9535,34836,0
10046,26127,0
10557,21772,0
11063,37449,0
11576,36578,0
12078,51383,0
12509,981661,0
13012,293974,0
13517,40188,0
14019,86532,0
14541,27067,0
15035,28809,0
15539,17418,0
16045,26510,0
16544,19160,0
17050,33965,0
17553,32223,0
18058,36007,0
18562,23514,0
19067,86565,0
19573,49641,0
20079,25256,0
20583,42674,0
21038,38320,0
21543,25256,0
22049,26127,0
22554,28740,0
23062,36578,0
23563,35463,0
24065,72899,0
24570,41596,0
25078,33094,0
25584,33965,0
26089,29611,0
26548,38320,0
27059,35707,0
27569,20901,0
28091,34782,0
28582,44818,0
29098,79799,0
29603,35776,0
30108,26998,0
30567,34455,0
31069,46427,0
31584,94929,0
32091,40061,0
32592,97005,0
33095,51395,0
33608,58219,0
34072,32223,0
34576,31951,0
35083,46420,0
35589,47499,0
36099,41803,0
36596,484638,0
,,
,,
,,
