Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,1397535,680843
535,1563080,846388
997,1756673,1039981
1493,2308770,1592078
1999,2717465,2000773
2502,2935098,2218406
3028,869337,152645
3526,650677,0
4020,601442,0
4527,298953,0
5040,259762,0
5542,242344,0
6051,61834,0
6538,587947,0
7012,49310,0
7525,103852,0
8025,47098,0
8540,42309,0
9044,40932,0
9554,31352,0
10062,33965,0
10560,98276,0
11029,50322,0
11513,1010983,294291
12021,74805,0
12522,79792,0
13035,36889,0
13538,22643,0
14043,17418,0
14546,38320,0
15049,25926,0
15550,25365,0
16054,22643,0
16559,32894,0
17063,32223,0
17571,20901,0
18074,50982,0
18531,36578,0
19033,36578,0
19538,49040,0
20043,44485,0
20551,54134,0
21055,39730,0
21560,33965,0
22065,57818,0
22570,44084,0
23075,69009,0
23580,44634,0
24085,39191,0
24541,48439,0
25048,37919,0
25556,51722,0
26065,49040,0
26572,77117,0
27080,30481,0
27591,44191,0
28043,47029,0
28536,695499,0
29057,21772,0
29568,37449,0
30083,42692,0
30577,36334,0
31085,47029,0
31594,41803,0
32079,860411,143719
32608,23314,0
33055,160538,0
33571,53263,0
34081,33965,0
34587,40932,0
35093,30481,0
35601,42021,0
36109,52793,0
36563,35707,0
37057,616628,0
37561,838901,122209
,,
,,
