Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1468069,1213689
499,884074,629694
994,1669196,1414816
1495,2313329,2058949
1998,3989464,3735084
2507,1545311,1290931
3010,1773836,1519456
3532,492107,237727
4025,625551,371171
4531,629455,375075
5032,2294529,2040149
5525,1820141,1565761
6030,1323818,1069438
6546,1072401,818021
7019,61892,0
7530,26127,0
8040,41603,0
8542,50111,0
9050,69719,0
9564,125555,0
10066,53664,0
10524,39574,0
11003,904673,650293
11507,285016,30636
12011,116049,0
12517,63350,0
13011,309679,55299
13521,214679,0
14030,21772,0
14535,15676,0
15024,219428,0
15537,20030,0
16041,17418,0
16547,38320,0
17052,44416,0
17557,34836,0
18067,36578,0
18570,30481,0
19076,26998,0
19528,33564,0
20036,31352,0
20541,28740,0
21050,33094,0
21552,34836,0
22060,27869,0
22564,24385,0
23071,31352,0
23577,34836,0
24080,42674,0
24536,26127,0
25045,33094,0
25552,47900,0
26058,39055,0
26568,33965,0
27076,63514,0
27583,26597,0
28095,40061,0
28554,36177,0
29062,29210,0
29571,30481,0
30078,30951,0
30588,31152,0
31087,59141,0
31594,139461,0
32106,23514,0
32567,41041,0
33077,41803,0
33588,23514,0
34094,33765,0
34604,27869,0
35113,69410,0
35617,52323,0
36076,39680,0
36558,598624,344244
,,
,,
