Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,411605,0
495,745102,277490
992,1317741,850129
1493,2958757,2491145
2004,2698932,2231320
2534,104028,0
3033,43545,0
3543,69380,0
4051,1004493,536881
4509,1124872,657260
5006,1072722,605110
5513,152280,0
6027,176370,0
6535,37449,0
7042,40073,0
7551,27869,0
8054,378941,0
8565,50181,0
9020,38810,0
9528,61834,0
10030,59100,0
10549,26481,0
11048,37449,0
11555,50524,0
12049,289246,0
12546,287214,0
13049,135546,0
13552,38688,0
14017,14828,0
14517,35707,0
15020,35707,0
15521,25256,0
16024,23514,0
16528,23514,0
17033,20901,0
17539,33094,0
18047,26617,0
18548,39191,0
19055,19160,0
19557,32223,0
20065,20030,0
20576,75036,0
21025,26998,0
21530,33965,0
22035,21772,0
22542,27869,0
23047,36578,0
23554,23514,0
24058,40171,0
24564,35707,0
25068,18289,0
25574,26998,0
26081,34836,0
26540,59360,0
27047,57017,0
27553,28740,0
28047,738519,270907
28564,26127,0
29075,25256,0
29584,30481,0
30095,42543,0
30551,39191,0
31060,41202,0
31548,838744,371132
32072,24185,0
32567,129600,0
33082,52446,0
33587,87913,0
34098,68892,0
34606,47499,0
35064,41259,0
35569,33965,0
36075,42686,0
36566,500344,32732
,,
,,
,,
