Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
20,994948,759632
501,1574015,1338699
996,1641690,1406374
1502,1782742,1547426
2007,3254143,3018827
2498,1881690,1646374
3002,3144531,2909215
3503,1503153,1267837
4006,1408015,1172699
4521,1114266,878950
5024,760665,525349
5535,35787,0
6061,32494,0
6519,45995,0
7030,47029,0
7534,40061,0
8024,380014,144698
8550,38200,0
9061,32223,0
9545,444389,209073
10072,19160,0
10517,70080,0
11044,23514,0
11515,1252978,1017662
12021,174806,0
12524,63896,0
13044,28582,0
13543,25267,0
14054,38726,0
14547,39191,0
15052,51992,0
15553,40073,0
16057,29611,0
16563,171561,0
17068,26998,0
17572,65525,0
18064,537757,302441
18576,15676,0
19030,41560,0
19537,39191,0
20044,19160,0
20551,26127,0
21057,23514,0
21563,19160,0
22068,25256,0
22574,25256,0
23080,69537,0
23583,28740,0
24096,60797,0
24546,32713,0
25048,37449,0
25548,239673,4357
26068,40061,0
26577,46027,0
27086,26127,0
27598,31622,0
28107,50982,0
28566,25256,0
29071,33965,0
29582,45356,0
30084,55676,0
30598,40061,0
31112,32023,0
31566,38320,0
32073,47900,0
32580,61772,0
33089,40932,0
33591,38320,0
34098,32223,0
34614,22643,0
35118,27267,0
35578,34836,0
36086,42674,0
36574,256376,21060
,,
,,
,,
