Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
65,518300,0
504,628464,56893
1004,1851299,1279728
1511,2319898,1748327
2011,2618015,2046444
2519,2420130,1848559
3016,2466676,1895105
3522,1717595,1146024
4023,1414164,842593
4527,1179318,607747
5033,1147879,576308
5543,1148126,576555
6017,118457,0
6525,63714,0
7035,38389,0
7546,29611,0
8038,430205,0
8568,13934,0
9023,80580,0
9529,43167,0
10043,70619,0
10541,163170,0
11054,82049,0
11564,37205,0
12043,526756,0
12543,127149,0
13050,63226,0
13564,12192,0
14070,25883,0
14569,29611,0
15074,46158,0
15576,35707,0
16026,17418,0
16533,17418,0
17035,34714,0
17542,34836,0
18048,33094,0
18554,31352,0
19057,42543,0
19560,39191,0
20065,32223,0
20572,31352,0
21076,29611,0
21580,39191,0
22089,30481,0
22541,30481,0
23049,30481,0
23551,29210,0
24057,33094,0
24564,26127,0
25069,23514,0
25572,44634,0
26084,41603,0
26592,38320,0
27051,33965,0
27558,87311,0
28067,42709,0
28575,47367,0
29082,38790,0
29597,33861,0
30097,49310,0
30608,38965,0
31064,29719,0
31564,846130,274559
32081,26127,0
32580,167982,0
33086,91063,0
33600,57272,0
34107,34836,0
34615,33364,0
35073,28740,0
35578,40061,0
36084,38320,0
36577,585951,14380
,,
,,
