Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,1648488,1078782
534,889091,319385
1044,1111364,541658
1491,1362317,792611
1993,1598930,1029224
2502,2480852,1911146
3015,2394811,1825105
3516,2724635,2154929
4031,2810676,2240970
4532,2843469,2273763
5026,2735918,2166212
5520,2416321,1846615
6023,1326467,756761
6525,1164823,595117
7037,975132,405426
7533,953622,383916
8042,932112,362406
8559,73626,0
9020,26127,0
9511,652478,82772
10030,30481,0
10515,695499,125793
11044,39191,0
11532,822856,253150
12034,144623,0
12531,194493,0
13049,26866,0
13551,19160,0
14053,19160,0
14551,175502,0
15060,32493,0
15560,105114,0
16065,19160,0
16505,272463,0
17030,33094,0
17521,118914,0
18042,13308,0
18542,51653,0
19054,17418,0
19561,31352,0
20064,26127,0
20569,77718,0
21076,36847,0
21532,33094,0
22037,39191,0
22548,42543,0
23048,23514,0
23553,32223,0
24059,47298,0
24564,32894,0
25070,35707,0
25577,40061,0
26084,32693,0
26541,53194,0
27052,37939,0
27561,36442,0
28066,40932,0
28577,22643,0
29086,51452,0
29596,34636,0
30054,41586,0
30559,50782,0
31069,31352,0
31576,43815,0
32082,33094,0
32589,34836,0
33101,46158,0
33603,30481,0
34057,105926,0
34546,1491379,921673
35053,1054003,484297
35552,795880,226174
36058,824560,254854
36556,853241,283535
37065,1312127,742421
,,
,,
