Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
40,415888,0
498,701878,176740
1001,1542754,1017616
1508,2739547,2214409
2001,2407323,1882185
2511,1195394,670256
3038,92930,0
3544,47639,0
4051,59093,0
4548,194959,0
5061,33094,0
5505,533936,8798
6014,188929,0
6532,45287,0
7045,44700,0
7549,48771,0
8040,476732,0
8567,23514,0
9029,27107,0
9536,33094,0
10045,50524,0
10539,215161,0
11064,40796,0
11550,779033,253895
12050,359396,0
12553,119423,0
13055,55129,0
13571,21807,0
14072,18289,0
14524,25256,0
15031,38331,0
15530,32894,0
16035,17418,0
16535,38320,0
17046,31364,0
17549,27243,0
18054,30481,0
18559,26127,0
19064,31352,0
19567,29611,0
20073,26127,0
20580,26998,0
21037,37919,0
21542,30944,0
22052,40932,0
22549,22643,0
23061,60746,0
23564,26127,0
24069,49310,0
24574,33965,0
25084,26998,0
25584,32223,0
26101,29410,0
26552,61560,0
27065,40061,0
27568,40061,0
28075,40932,0
28582,27869,0
29091,44416,0
29600,26998,0
30057,40932,0
30573,27869,0
31079,41803,0
31574,1043170,518032
32088,90305,0
32583,418908,0
33106,38076,0
33602,157593,0
34068,51452,0
34574,39661,0
35079,48771,0
35586,39191,0
36094,34836,0
36583,503148,0
,,
,,
