Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1466348,0
497,766531,0
993,1600310,56906
1496,1175808,0
1998,3407528,1864124
2499,3620281,2076877
3001,3810356,2266952
3503,2938749,1395345
4009,1912511,369107
4516,553564,0
5037,80238,0
5547,54111,0
6057,38320,0
6517,56609,0
7019,53996,0
7528,42674,0
8033,212625,0
8542,55159,0
9034,546168,0
9556,36847,0
10064,66327,0
10522,34564,0
11019,105300,0
11543,79241,0
12013,846932,0
12517,85065,0
13020,43402,0
13542,14179,0
14035,77358,0
14539,26127,0
15043,39463,0
15549,35925,0
16051,26127,0
16554,26127,0
17055,114331,0
17565,38320,0
18067,48283,0
18575,35707,0
19030,48390,0
19534,35816,0
20039,74763,0
20547,42674,0
21049,26127,0
21556,19160,0
22062,40932,0
22566,28740,0
23069,32223,0
23576,23514,0
24063,860411,0
24565,817390,0
25021,863917,0
25525,48771,0
26055,31364,0
26563,31352,0
27071,29410,0
27579,57279,0
28063,1188276,0
28583,996571,0
29090,1094791,0
29548,1088695,0
30049,1092178,0
30561,1088940,0
31060,1118070,0
31572,1028529,0
32075,803856,0
32584,313421,0
33083,1098275,0
33593,1090236,0
34099,1091308,0
34552,1100888,0
35060,1120604,0
35571,88244,0
36076,38320,0
36569,299220,0
,,
,,
,,
