Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,534362,36038
500,1037598,539274
1001,1643159,1144835
1506,2121944,1623620
2010,1827426,1329102
2505,2457906,1959582
3016,562164,63840
3546,55641,0
4048,43557,0
4551,159701,0
5014,38810,0
5517,113787,0
6023,53865,0
6543,39910,0
7033,49711,0
7540,57491,0
8066,43815,0
8562,34836,0
9070,29210,0
9529,54283,0
10039,40061,0
10543,43545,0
11053,66407,0
11558,48771,0
12041,907664,409340
12537,1186151,687827
13038,1822516,1324192
13543,2073064,1574740
14043,1037460,539136
14550,91943,0
15064,23549,0
15568,26998,0
16070,40061,0
16573,12192,0
17075,26998,0
17515,724179,225855
18039,25120,0
18526,973362,475038
19034,891556,393232
19545,47911,0
20054,70882,0
20560,31352,0
21065,31352,0
21569,38320,0
22074,25256,0
22580,35707,0
23036,26127,0
23542,29611,0
24048,36578,0
24551,37449,0
25041,279633,0
25561,35707,0
26066,41041,0
26578,48771,0
27085,26127,0
27594,47900,0
28051,55738,0
28563,50512,0
29065,45287,0
29572,33965,0
30085,44216,0
30592,42543,0
31101,67668,0
31607,99525,0
32065,29611,0
32567,119390,0
33075,36578,0
33584,32223,0
34090,37718,0
34595,35707,0
35107,32023,0
35615,31352,0
36078,28740,0
36563,520091,21767
,,
,,
