Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,720004,364020
497,873600,517616
990,1378931,1022947
1494,1631082,1275098
1995,2699546,2343562
2499,3177309,2821325
3001,3169344,2813360
3501,2957141,2601157
4008,742752,386768
4509,1288299,932315
5019,1707730,1351746
5531,133044,0
6037,564527,208543
6569,51664,0
7020,53283,0
7530,34367,0
8035,51383,0
8542,40061,0
9049,29611,0
9554,73259,0
10068,107078,0
10565,35707,0
11073,44416,0
11533,76716,0
12009,558544,202560
12512,120279,0
13018,104873,0
13534,13969,0
14028,87913,0
14539,82573,0
15041,22643,0
15542,43144,0
16044,24385,0
16548,16547,0
17038,301143,0
17542,22655,0
18059,42674,0
18566,33094,0
19076,32363,0
19575,34836,0
20017,319168,0
20544,33094,0
21041,39202,0
21547,41803,0
22053,32223,0
22562,35106,0
23064,33094,0
23571,32223,0
24076,46158,0
24580,33094,0
25083,24385,0
25538,36578,0
26045,36578,0
26551,37449,0
27057,31352,0
27566,27869,0
28069,37449,0
28574,29611,0
29084,31352,0
29587,33965,0
30080,401525,45541
30554,39213,0
31073,28740,0
31567,56609,0
32069,40932,0
32578,68138,0
33084,29611,0
33592,43614,0
34102,53934,0
34612,52192,0
35068,29611,0
35573,33094,0
36082,60500,0
36578,193708,0
,,
,,
,,
