Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
56,487423,0
503,814440,0
999,1991830,1080964
1507,2028215,1117349
2007,2375907,1465041
2511,3738751,2827885
3010,900579,0
3513,1143679,232813
4015,2007185,1096319
4520,2883912,1973046
5023,2423457,1512591
5524,2340233,1429367
6032,2682001,1771135
6534,1598370,687504
7037,1142453,231587
7546,41001,0
8002,130233,0
8508,278503,0
9014,50639,0
9523,50212,0
10030,45344,0
10538,64619,0
11043,40096,0
11547,51406,0
12045,744509,0
12553,306233,0
13055,102039,0
13556,125220,0
14008,34870,0
14515,27021,0
15018,66417,0
15522,31398,0
16025,26184,0
16527,27915,0
17033,34916,0
17537,39236,0
18043,46227,0
18548,35776,0
19054,45344,0
19562,68905,0
20064,61938,0
20519,49710,0
21026,40153,0
21532,44496,0
22036,56769,0
22542,34905,0
23048,37495,0
23553,44485,0
24059,44462,0
24563,45367,0
25069,41872,0
25574,47946,0
26023,407015,0
26536,205660,0
27042,61983,0
27547,50604,0
28054,40073,0
28561,60207,0
29066,45356,0
29573,54993,0
30079,43660,0
30586,58477,0
31041,37472,0
31547,1036968,126102
32054,83126,0
32560,72354,0
33067,68149,0
33575,60173,0
34082,43625,0
34588,57606,0
35093,209537,0
35549,89154,0
36057,40978,0
36561,539386,0
,,
,,
