Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,1223099,814001
491,1240093,830995
986,1582567,1173469
1490,1502107,1093009
1992,2954732,2545634
2499,3025030,2615932
3002,2383761,1974663
3502,3303923,2894825
4005,3715001,3305903
4507,4149439,3740341
5012,3360696,2951598
5506,2844536,2435438
6009,3151151,2742053
6510,2469832,2060734
7018,1805850,1396752
7527,1304186,895088
8035,675769,266671
8555,49063,0
9067,45826,0
9520,84107,0
10005,611385,202287
10528,51275,0
11026,127583,0
11530,289246,0
12017,538328,129230
12525,368777,0
13028,144841,0
13541,15554,0
14041,46866,0
14541,204451,0
15054,47982,0
15550,90720,0
16058,47029,0
16562,32869,0
17054,315484,0
17568,18289,0
18006,185227,0
18532,28740,0
19032,24385,0
19537,35707,0
20045,20901,0
20550,33094,0
21055,35707,0
21564,28740,0
22066,40061,0
22573,40932,0
23027,38320,0
23530,41287,0
24024,723394,314296
24522,1415185,1006087
25047,1133741,724643
25547,1100888,691790
26053,1088695,679597
26568,1103970,694872
27064,1098275,689177
27576,919519,510421
28078,1097874,688776
28586,1086953,677855
29050,1177410,768312
29534,1684624,1275526
30031,1097404,688306
30539,1122104,713006
31039,668404,259306
31552,125687,0
32059,70600,0
32583,46462,0
33101,30590,0
33597,67668,0
34058,27869,0
34571,26127,0
35082,45384,0
35588,47029,0
36095,33094,0
36599,87563,0
,,
,,
