Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
46,539075,51748
495,601720,114393
1000,1755237,1267910
1498,1846200,1358873
2011,2898159,2410832
2501,3427664,2940337
3004,3701542,3214215
3511,2008430,1521103
4008,449023,0
4516,2338716,1851389
5028,3016298,2528971
5556,830207,342880
6042,614853,127526
6560,46158,0
7023,33965,0
7526,37449,0
8097,1180512,693185
8517,416150,0
9044,80176,0
9550,48840,0
10061,36578,0
10565,76377,0
11022,41803,0
11535,42686,0
12011,977526,490199
12512,245286,0
13016,111945,0
13518,48389,0
14031,26150,0
14534,22643,0
15036,23514,0
15539,15676,0
16042,25256,0
16548,27869,0
17052,19160,0
17557,59222,0
18063,346727,0
18567,34836,0
19023,33094,0
19529,37449,0
20033,20901,0
20540,41803,0
21049,36589,0
21550,33094,0
22057,26127,0
22562,35707,0
23069,37449,0
23573,40061,0
24077,43703,0
24533,40932,0
25036,34836,0
25542,32223,0
26051,41672,0
26559,37449,0
27072,37803,0
27574,39661,0
28088,48639,0
28593,33965,0
29099,36578,0
29558,40143,0
30065,41402,0
30567,25256,0
31076,49886,0
31556,1193742,706415
32091,61560,0
32591,61889,0
33096,40932,0
33601,37449,0
34078,43382,0
34572,88901,0
35080,66372,0
35580,47969,0
36086,46158,0
36574,682400,195073
,,
,,
,,
