Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,918202,472421
496,864518,418737
999,1569103,1123322
1502,2313035,1867254
1997,3901130,3455349
2506,2681482,2235701
3003,1922320,1476539
3504,2702103,2256322
4007,3284088,2838307
4510,4157808,3712027
5012,3345630,2899849
5519,2409580,1963799
6030,2636713,2190932
6526,2708854,2263073
7047,448475,2694
7565,361167,0
8021,34836,0
8530,27869,0
9032,85487,0
9526,294438,0
10045,56701,0
10550,76673,0
11060,43058,0
11569,55738,0
12045,910621,464840
12545,98889,0
13049,74188,0
13568,19160,0
14019,54936,0
14524,25256,0
15024,23514,0
15530,49711,0
16030,19160,0
16528,56780,0
17024,329824,0
17540,21784,0
18044,17418,0
18554,18289,0
19057,38320,0
19562,26998,0
20067,28740,0
20575,30481,0
21029,20030,0
21536,31352,0
22025,480396,34615
22547,24385,0
23051,24385,0
23558,28740,0
24064,44416,0
24568,33094,0
25075,33965,0
25583,37449,0
26047,44906,0
26548,35707,0
27049,29611,0
27558,27869,0
28070,33094,0
28577,44362,0
29081,53125,0
29589,39191,0
30097,40987,0
30549,53595,0
31056,34636,0
31568,36578,0
32072,62705,0
32580,51452,0
33090,50782,0
33597,33765,0
34101,35707,0
34607,40331,0
35062,38790,0
35574,29611,0
36080,37718,0
36570,551776,105995
,,
,,
