Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
76,118222,0
537,217622,0
1036,1550269,1006908
1533,2643129,2099768
2042,4533099,3989738
2542,3841038,3297677
3040,3830811,3287450
3543,2553081,2009720
4043,3377440,2834079
4554,665584,122223
5062,73317,0
5511,618661,75300
6025,394655,0
6530,54030,0
7038,46204,0
7539,77154,0
8051,710918,167557
8560,59440,0
9065,54913,0
9517,45344,0
10028,73467,0
10537,47923,0
11036,866053,322692
11538,945430,402069
12043,836518,293157
12543,808153,264792
13047,23560,0
13549,23560,0
14053,43995,0
14555,33152,0
15059,24431,0
15561,34916,0
16066,20936,0
16572,48874,0
17027,38366,0
17532,41001,0
18038,38377,0
18545,40084,0
19048,47086,0
19553,44485,0
20060,43637,0
20564,48885,0
21068,54168,0
21573,29633,0
22078,36647,0
22534,50581,0
23039,46215,0
23545,37495,0
24050,48839,0
24555,40130,0
25064,47098,0
25573,47132,0
26075,677181,133820
26580,102149,0
27089,61250,0
27546,47109,0
28049,50604,0
28555,54111,0
29059,57790,0
29564,34859,0
30069,55005,0
30575,52346,0
31083,34011,0
31586,1232314,688953
32093,78634,0
32597,269892,0
33053,43591,0
33557,61949,0
34064,221538,0
34571,44496,0
35078,42697,0
35587,75918,0
36097,84811,0
36591,551080,7719
,,
,,
