Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
24,494443,0
495,686095,94605
995,1592354,1000864
1504,1873042,1281552
1995,3041159,2449669
2498,3609728,3018238
2999,2910949,2319459
3504,3836893,3245403
4004,3304423,2712933
4507,2377686,1786196
5010,2550274,1958784
5513,1620923,1029433
6018,1490780,899290
6531,174468,0
7038,52300,0
7545,41826,0
8051,184166,0
8508,34916,0
9008,382749,0
9523,155645,0
10029,107596,0
10537,47098,0
11041,54947,0
11543,82628,0
12046,538272,0
12550,98718,0
13051,111740,0
13553,24465,0
14007,393727,0
14509,24477,0
15011,80365,0
15513,30573,0
16017,54042,0
16519,31387,0
17024,40176,0
17530,31421,0
18032,54378,0
18540,36039,0
19046,43625,0
19551,34022,0
20056,27032,0
20564,47086,0
21019,45413,0
21524,39213,0
22031,44496,0
22535,27044,0
23043,34893,0
23548,89905,0
24054,63548,0
24560,54993,0
25065,38388,0
25571,45367,0
26029,36612,0
26534,61193,0
27041,51464,0
27547,41861,0
28059,62889,0
28561,43310,0
29072,58488,0
29574,44485,0
30077,63760,0
30535,40153,0
31037,59336,0
31546,47143,0
32050,64585,0
32557,37518,0
33063,74165,0
33569,372374,0
34074,41826,0
34582,61972,0
35037,75876,0
35543,47991,0
36049,43602,0
36553,436748,0
,,
,,
,,
