Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
62,902977,0
491,580660,0
996,1423222,377654
1496,3762722,2717154
2001,3209080,2163512
2502,3439238,2393670
3006,3873329,2827761
3507,1711664,666096
4013,1913685,868117
4524,490956,0
5029,73374,0
5537,94242,0
6042,212358,0
6549,47957,0
7007,46204,0
7507,168793,0
8012,659116,0
8521,34882,0
9027,73964,0
9533,63691,0
10039,53194,0
10544,47980,0
11049,47969,0
11554,50616,0
12060,34859,0
12517,59290,0
13022,578553,0
13520,249299,0
14025,131023,0
14526,66857,0
15029,17464,0
15532,19194,0
16036,27055,0
16538,27926,0
17041,25313,0
17545,27067,0
18050,28785,0
18559,45367,0
19063,138695,0
19517,33152,0
20025,38366,0
20528,47109,0
21034,35787,0
21538,48897,0
22044,33140,0
22551,41884,0
23056,39259,0
23562,52357,0
24067,54959,0
24573,31375,0
25026,37495,0
25532,46296,0
26037,38400,0
26542,81109,0
27041,217222,0
27555,85112,0
28063,31456,0
28570,52369,0
29079,40199,0
29536,48851,0
30044,34928,0
30551,43717,0
31061,52403,0
31564,988845,0
32071,35787,0
32570,129082,0
33082,261319,0
33588,132232,0
34046,52284,0
34550,47166,0
35062,45425,0
35570,43660,0
36078,62006,0
36580,154051,0
,,
,,
