Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,969092,645829
499,1805721,1482458
1001,1313628,990365
1503,2278860,1955597
2005,3056789,2733526
2510,2560257,2236994
3005,2568221,2244958
3508,3847915,3524652
4011,2303014,1979751
4513,2222313,1899050
5014,2282592,1959329
5518,534909,211646
6023,1102629,779366
6539,1122975,799712
7070,104876,0
7537,40279,0
8015,491072,167809
8536,30281,0
9022,286285,0
9524,870107,546844
10043,95804,0
10552,86026,0
11060,83698,0
11574,126600,0
12048,756158,432895
12552,129669,0
13055,86805,0
13519,13063,0
14027,165376,0
14530,29230,0
15032,21772,0
15536,41803,0
16038,24385,0
16537,26127,0
17041,207527,0
17551,40905,0
18053,45287,0
18559,22643,0
19064,45826,0
19570,26127,0
20074,25726,0
20533,26998,0
21038,25256,0
21543,24385,0
22048,22643,0
22559,36578,0
23047,118195,0
23569,28539,0
24057,315484,0
24573,50850,0
25082,33094,0
25586,67398,0
26055,33203,0
26550,36578,0
27058,61572,0
27565,38320,0
28076,54404,0
28585,51992,0
29095,34836,0
29553,27869,0
30063,46158,0
30568,32223,0
31072,31352,0
31579,42674,0
32084,230235,0
32603,48473,0
33061,33094,0
33568,40200,0
34077,36578,0
34584,39191,0
35088,42674,0
35594,59159,0
36108,25256,0
36609,721739,398476
,,
,,
,,
