Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
91,552463,0
489,1004304,387106
994,1711716,1094518
1489,2978004,2360806
1990,3338656,2721458
2494,2451578,1834380
2996,1996169,1378971
3501,1790099,1172901
4005,2353591,1736393
4511,3245704,2628506
5028,1878333,1261135
5522,2122377,1505179
6024,1501517,884319
6531,1195389,578191
7037,1556948,939750
7536,1562268,945070
8044,2115608,1498410
8544,1169238,552040
9046,1537471,920273
9549,1451222,834024
10006,1843480,1226282
10508,1539497,922299
11011,1620770,1003572
11517,1521317,904119
12008,2583295,1966097
12515,1816897,1199699
13017,1235068,617870
13528,923759,306561
14028,1206018,588820
14532,1124658,507460
15032,1178750,561552
15533,1311921,694723
16035,1075217,458019
16543,1051276,434078
17042,1183786,566588
17540,1507954,890756
18050,1069984,452786
18550,1154352,537154
19052,1525471,908273
19558,1167600,550402
20059,1208305,591107
20511,1532446,915248
21015,1029852,412654
21519,1402944,785746
22023,1495511,878313
22524,1219616,602418
23026,1450628,833430
23529,1248271,631073
24031,1494031,876833
24536,1099404,482206
25038,1223759,606561
25542,1015862,398664
26043,1313264,696066
26543,1663062,1045864
27049,1236553,619355
27550,1528949,911751
28053,1605234,988036
28555,2092033,1474835
29056,1603745,986547
29559,1657894,1040696
30060,1513979,896781
30563,1578810,961612
31070,1065423,448225
31519,3024957,2407759
32021,1751792,1134594
32521,2074898,1457700
33027,1965699,1348501
33537,1262437,645239
34037,1570589,953391
34540,1568836,951638
35044,1637502,1020304
35548,1292069,674871
36048,1557381,940183
36548,2096094,1478896
,,
,,
