Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
33,1051367,411949
495,840794,201376
987,544274,0
1490,2318943,1679525
1994,3511856,2872438
2496,4136862,3497444
2999,4097192,3457774
3502,1420006,780588
4004,1680598,1041180
4510,2859464,2220046
5010,4290834,3651416
5511,2380352,1740934
6014,2864629,2225211
6522,1434987,795569
7032,859363,219945
7532,1193435,554017
8037,697334,57916
8538,886713,247295
9038,980833,341415
9536,1602598,963180
10042,989873,350455
10544,1025717,386299
10998,730813,91395
11495,1138917,499499
11996,1594804,955386
12494,981330,341912
13006,971618,332200
13507,907393,267975
14007,1062379,422961
14515,919236,279818
15009,1055610,416192
15515,664236,24818
16015,977298,337880
16518,697679,58261
17018,992532,353114
17523,720856,81438
18022,701041,61623
18521,987554,348136
19026,813206,173788
19529,743946,104528
20030,710542,71124
20537,600986,0
21036,753796,114378
21536,730813,91395
22043,464463,0
22538,1007229,367811
23040,1028538,389120
23545,596170,0
24047,747229,107811
24553,682339,42921
25050,1054138,414720
25556,612436,0
26008,736927,97509
26508,720735,81317
27013,1140113,500695
27513,1012245,372827
28022,682161,42743
28521,1045645,406227
29025,737042,97624
29527,1085551,446133
30035,494800,0
30533,755544,116126
31034,950911,311493
31536,1107535,468117
32041,1005768,366350
32544,1146203,506785
33043,1060606,421188
33545,1052385,412967
34053,766928,127510
34553,763869,124451
35055,785609,146191
35557,1052112,412694
36059,1082152,442734
36562,1478278,838860
,,
,,
