Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,440863,0
490,736602,157184
990,1726002,1146584
1496,2657700,2078282
1991,2254763,1675345
2512,1725451,1146033
3004,2277859,1698441
3502,4548792,3969374
4017,3452796,2873378
4505,3015267,2435849
5009,2978393,2398975
5511,4263389,3683971
6019,1988886,1409468
6529,1532777,953359
7032,1519842,940424
7536,1958964,1379546
8039,1614303,1034885
8540,2017921,1438503
8991,2005334,1425916
9497,1484640,905222
10000,1535445,956027
10502,2019674,1440256
11005,1595835,1016417
11512,1607446,1028028
12006,1373716,794298
12509,1406662,827244
13013,1555052,975634
13516,1429520,850102
14021,1128195,548777
14522,1149201,569783
15024,1167485,588067
15525,1245848,666430
16026,1435715,856297
16535,975366,395948
17033,1519004,939586
17537,1181924,602506
18035,1469144,889726
18540,1195166,615748
19044,1400796,821378
19542,1474121,894703
20050,1038269,458851
20550,1136281,556863
21002,1178641,599223
21509,1221992,642574
22007,1162110,582692
22511,1499066,919648
23017,1168791,589373
23518,1146969,567551
24018,1533946,954528
24521,1495803,916385
25029,1188950,609532
25527,1540394,960976
26034,1568836,989418
26540,1205589,626171
27038,1618706,1039288
27541,1538914,959496
28043,1652634,1073216
28545,1825447,1246029
29052,2414217,1834799
29557,1251777,672359
30010,1566148,986730
30514,1578810,999392
31021,1223535,644117
31526,2650830,2071412
32032,1240621,661203
32526,2229704,1650286
33029,1695542,1116124
33534,1281763,702345
34038,1598758,1019340
34537,1510472,931054
35040,1560615,981197
35542,1565329,985911
36042,1513979,934561
36544,2279832,1700414
,,
,,
