Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
21,1024648,587796
488,782734,345882
990,1668922,1232070
1492,1361850,924998
1994,3081304,2644452
2496,3397876,2961024
3000,2456417,2019565
3501,1276844,839992
4004,2772248,2335396
4504,3745618,3308766
5006,2024030,1587178
5509,1899911,1463059
6017,2176212,1739360
6523,1675655,1238803
7024,1136699,699847
7529,954145,517293
8032,1139664,702812
8538,450612,13760
9034,1048237,611385
9541,957379,520527
10039,1012791,575939
10543,688011,251159
11045,1131904,695052
11496,1245527,808675
11988,1865269,1428417
12491,2607657,2170805
12997,2721935,2285083
13502,2027555,1590703
14008,2040956,1604104
14508,1033022,596170
15007,912505,475653
15513,705733,268881
16017,717573,280721
16517,734212,297360
17012,1539593,1102741
17517,696332,259480
18024,970859,534007
18524,922470,485618
19027,1519664,1082812
19528,1818360,1381508
20033,1880613,1443761
20536,1979330,1542478
21039,2157284,1720432
21545,1948923,1512071
22048,1718096,1281244
22552,1528734,1091882
23007,816790,379938
23503,2049385,1612533
24010,1565055,1128203
24511,2142870,1706018
25012,2068055,1631203
25516,1845236,1408384
26022,1514990,1078138
26519,1282760,845908
27024,939203,502351
27526,1032203,595351
28028,1027450,590598
28533,1017203,580351
29034,1047125,610273
29539,997528,560676
30045,773272,336420
30550,1020709,583857
31047,1128024,691172
31582,1012226,575374
32053,1034200,597348
32556,1054148,617296
33013,1045655,608803
33515,1095525,658673
34018,766928,330076
34523,1065593,628741
35026,982304,545452
35527,1028940,592088
36035,783007,346155
36530,1401492,964640
37035,1669841,1232989
,,
,,
