Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
35,454249,0
486,660336,0
986,1006218,295507
1488,2859422,2148711
1986,1242206,531495
2503,1537162,826451
3015,839721,129010
3519,293568,0
4031,156905,0
4538,215108,0
5034,1643366,932655
5523,1101758,391047
5987,341749,0
6494,48794,0
7021,41659,0
7530,94674,0
8038,45298,0
8547,24385,0
9057,50851,0
9516,35707,0
10022,45826,0
10531,38320,0
11038,45287,0
11530,341155,0
12023,317893,0
12526,115896,0
13027,66857,0
13541,13063,0
14047,20030,0
14547,22643,0
15048,29611,0
15550,20901,0
16053,18289,0
16557,27869,0
17062,32223,0
17518,35707,0
18022,28740,0
18528,24385,0
19033,56620,0
19532,162058,0
20044,36578,0
20550,37449,0
21058,39027,0
21561,39191,0
22067,25256,0
22570,27869,0
23075,43845,0
23529,29611,0
24035,33965,0
24539,41287,0
25046,27869,0
25554,27869,0
26064,42674,0
26556,408695,0
27085,33977,0
27546,24004,0
28053,40061,0
28555,60099,0
29060,70550,0
29548,659648,0
30077,309956,0
30592,29611,0
31052,39818,0
31535,910601,199890
32064,44743,0
32574,38320,0
33101,68387,0
33587,39191,0
34102,75746,0
34599,47278,0
35057,37919,0
35569,32223,0
36079,47674,0
36561,527462,0
,,
,,
