Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,876034,582218
500,898458,604642
997,1332061,1038245
1500,1829788,1535972
2005,3948254,3654438
2510,3248205,2954389
3016,1249876,956060
3513,1069048,775232
4008,1462231,1168415
4514,1161924,868108
5016,1092976,799160
5531,195702,0
6056,54042,0
6561,38990,0
7019,40967,0
7531,48169,0
8038,37919,0
8542,52793,0
9047,111357,0
9549,98195,0
10061,73163,0
10568,75036,0
11004,1250359,956543
11498,1541896,1248080
12003,571457,277641
12503,1094591,800775
13007,1183051,889235
13507,1083627,789811
14010,1100888,807072
14514,1863098,1569282
15017,1199289,905473
15523,1094791,800975
16025,1096690,802874
16528,1085211,791395
17033,1102787,808971
17537,1431995,1138179
18047,54248,0
18565,31387,0
19073,29611,0
19527,24385,0
20032,25256,0
20539,36578,0
21042,36578,0
21546,40932,0
22053,40061,0
22544,469562,175746
23071,117621,0
23569,35976,0
24073,58351,0
24578,30481,0
25082,22643,0
25539,36578,0
26048,46967,0
26555,32223,0
27066,62643,0
27575,53533,0
28081,37449,0
28593,30481,0
29051,53263,0
29554,32223,0
30067,40829,0
30574,65726,0
31083,27869,0
31592,51252,0
32099,38119,0
32557,31352,0
33069,38320,0
33571,27869,0
34079,45757,0
34588,26127,0
35098,40932,0
35605,34636,0
36114,31352,0
36552,469562,175746
,,
,,
