Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
33,585397,0
502,827108,0
996,1603283,619797
1500,2666927,1683441
2001,2732406,1748920
2506,1852069,868583
3019,2128983,1145497
3530,712875,0
4046,46068,0
4551,100500,0
5063,38320,0
5569,47029,0
6020,263813,0
6534,83024,0
7043,37999,0
7549,107914,0
8060,28740,0
8572,33094,0
9003,602287,0
9534,26862,0
10036,34836,0
10529,423035,0
11051,47309,0
11527,832972,0
12028,613115,0
12539,857114,0
13046,119845,0
13556,19160,0
14059,20901,0
14561,22643,0
15064,43545,0
15569,17418,0
16069,24385,0
16576,44886,0
17081,36578,0
17535,24385,0
18041,18289,0
18547,25256,0
19050,77154,0
19545,153888,0
20062,33094,0
20567,34836,0
21071,35776,0
21578,38320,0
22082,32894,0
22586,26127,0
23039,44416,0
23546,43345,0
24048,72444,0
24558,31152,0
25060,19160,0
25571,171802,0
26078,62373,0
26589,32223,0
27085,151276,0
27601,39191,0
28060,31352,0
28570,32023,0
29078,32851,0
29584,52994,0
30095,39331,0
30603,48169,0
31110,50149,0
31567,134085,0
32074,31352,0
32564,666818,0
33071,16558,0
33594,53996,0
34102,46027,0
34609,30481,0
35063,41872,0
35577,50851,0
36083,37177,0
36571,757092,0
,,
,,
