Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,1287039,1025635
492,1682789,1421385
992,1495438,1234034
1490,1611922,1350518
1991,3737186,3475782
2496,2230138,1968734
3003,1041445,780041
3525,142385,0
4013,1200756,939352
4531,188859,0
5038,1227100,965696
5555,1134436,873032
6064,64688,0
6566,58936,0
7024,43545,0
7532,39861,0
8040,33094,0
8553,45356,0
9056,56678,0
9551,401830,140426
10067,44439,0
10573,37449,0
11031,45026,0
11533,65575,0
12039,49641,0
12551,59761,0
13031,572064,310660
13534,90643,0
14038,208246,0
14546,1073937,812533
15056,962111,700707
15556,1115294,853890
16059,1081728,820324
16569,1086953,825549
17064,1086953,825549
17554,439497,178093
18049,1333289,1071885
18577,1098589,837185
19088,1103640,842236
19530,1105242,843838
20038,1289660,1028256
20542,1083469,822065
21029,1109539,848135
21548,57732,0
22047,510829,249425
22560,20901,0
23048,258123,0
23559,101291,0
24063,87480,0
24581,41803,0
25082,48771,0
25536,46866,0
26044,32468,0
26551,27869,0
27065,25256,0
27573,49711,0
28082,26998,0
28591,40061,0
29094,49040,0
29603,30116,0
30061,37939,0
30566,53125,0
31073,41471,0
31584,29410,0
32094,49109,0
32602,32023,0
33110,36589,0
33571,26998,0
34076,32060,0
34580,26127,0
35088,41672,0
35602,72223,0
36113,32223,0
36606,487566,226162
,,
,,
,,
