Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,511167,0
499,756366,177948
997,833474,255056
1504,3561459,2983041
2004,3485249,2906831
2507,1297981,719563
3037,168087,0
3538,66339,0
4044,69765,0
4557,57844,0
5046,600291,21873
5548,140664,0
6009,223094,0
6527,55761,0
7034,40061,0
7544,38320,0
8053,59635,0
8542,509076,0
9070,30539,0
9532,47868,0
10015,218976,0
10541,38320,0
11038,108540,0
11550,45287,0
12031,988287,409869
12534,189838,0
13039,59595,0
13552,24408,0
14060,25256,0
14558,22643,0
15062,22643,0
15562,25256,0
16066,17418,0
16570,30481,0
17077,37449,0
17531,30481,0
18038,42674,0
18544,23514,0
19046,100428,0
19555,47029,0
20057,26998,0
20563,29611,0
21069,37449,0
21573,25256,0
22081,20901,0
22590,24385,0
23041,46430,0
23547,38320,0
24051,39191,0
24555,28740,0
25061,28740,0
25566,28740,0
26079,40932,0
26577,31352,0
27085,25256,0
27592,30481,0
28048,41640,0
28556,37449,0
29064,23514,0
29571,21772,0
30081,20901,0
30587,32223,0
31100,53395,0
31583,1032336,453918
32114,28647,0
32546,463791,0
33069,52449,0
33579,59141,0
34087,41803,0
34595,33965,0
35107,32693,0
35612,39260,0
36122,41872,0
36553,539619,0
,,
,,
