Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,1106495,694504
504,1282711,870720
994,1046188,634197
1501,1935077,1523086
2008,3419906,3007915
2503,4089751,3677760
3006,3577340,3165349
3505,2052715,1640724
4014,1804101,1392110
4522,1135612,723621
5029,915493,503502
5533,49676,0
6058,48169,0
6499,487566,75575
7023,46061,0
7523,79329,0
8036,21772,0
8550,32485,0
9050,164550,0
9553,159077,0
10076,48313,0
10533,74836,0
11026,469971,57980
11525,492863,80872
12028,137744,0
12529,58363,0
13046,13934,0
13549,26127,0
14051,39202,0
14554,20901,0
15059,24385,0
15562,23514,0
16065,24385,0
16555,372844,0
17071,19171,0
17528,40932,0
18033,22643,0
18539,20901,0
19045,29611,0
19549,25256,0
20055,24385,0
20561,19160,0
21072,28740,0
21572,49641,0
22080,31352,0
22533,26998,0
23041,31352,0
23544,30481,0
24048,57549,0
24554,31410,0
25061,35707,0
25573,32223,0
26082,36177,0
26590,45556,0
27097,33094,0
27556,32223,0
28062,33094,0
28572,33094,0
29078,44886,0
29585,25256,0
30097,27869,0
30598,50512,0
31056,31352,0
31568,22643,0
32080,37919,0
32584,32223,0
33093,33094,0
33602,29611,0
34110,37048,0
34574,39408,0
35076,75575,0
35582,27869,0
36070,458886,46895
36593,529311,117320
,,
,,
