Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,436256,0
507,999700,473593
1006,1791381,1265274
1515,2326452,1800345
2014,1874057,1347950
2521,1658132,1132025
3038,2038679,1512572
3555,229939,0
4058,53229,0
4522,48390,0
5031,43144,0
5537,84215,0
6048,48036,0
6554,57159,0
7066,34428,0
7572,64115,0
8074,51220,0
8533,51522,0
9040,51052,0
9548,56088,0
10055,90986,0
10567,63244,0
11071,80663,0
11564,518000,0
12058,372750,0
12561,134085,0
13066,26961,0
13529,25302,0
14032,29210,0
14535,27869,0
15038,57888,0
15541,37449,0
16043,25256,0
16546,22643,0
17049,47029,0
17555,28740,0
18060,26127,0
18568,31352,0
19072,41803,0
19577,43545,0
20087,33094,0
20592,37449,0
21048,33965,0
21551,82543,0
22064,23514,0
22563,33094,0
23064,31352,0
23573,32223,0
24075,36578,0
24581,43545,0
25086,29338,0
25589,34836,0
26097,20901,0
26563,29611,0
27069,53263,0
27580,30481,0
28089,34836,0
28599,29611,0
29109,36578,0
29562,65726,0
30075,26127,0
30578,35707,0
31089,32223,0
31592,412636,0
32104,29964,0
32610,81333,0
33115,47029,0
33572,96615,0
34085,34836,0
34587,50651,0
35100,46497,0
35605,40061,0
36119,70543,0
36617,497801,0
,,
,,
