Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
21,1235138,719234
496,1517450,1001546
999,1923621,1407717
1505,2921318,2405414
1996,3901928,3386024
2500,3197464,2681560
3000,2104092,1588188
3505,2629934,2114030
4009,2090001,1574097
4515,938526,422622
5022,1014420,498516
5539,590516,74612
6044,138226,0
6553,65857,0
7066,64786,0
7520,81458,0
8027,33094,0
8537,40061,0
9024,656464,140560
9537,388986,0
10062,52157,0
10569,31364,0
11026,56909,0
11539,104714,0
12036,92831,0
12524,669772,153868
13024,109454,0
13529,59844,0
14032,281386,0
14547,28114,0
15049,28576,0
15551,24385,0
16044,98495,0
16546,830695,314791
17052,1221592,705688
17548,1084340,568436
18052,1116879,600975
18506,1109911,594007
19010,1086953,571049
19514,1130100,614196
20022,947146,431242
20526,1096533,580629
21031,1103815,587911
21535,1118463,602559
22039,1119177,603273
22544,1128358,612454
23056,793737,277833
23568,322322,0
24036,70715,0
24538,32223,0
25046,29611,0
25552,29611,0
26056,21772,0
26565,35707,0
27071,27869,0
27581,36442,0
28085,36578,0
28548,33094,0
29059,45287,0
29565,34636,0
30079,34836,0
30593,30481,0
31100,37248,0
31562,26127,0
32067,29611,0
32573,83483,0
33078,54667,0
33587,31352,0
34091,41560,0
34601,45156,0
35109,47982,0
35566,40531,0
36071,26998,0
36559,606814,90910
,,
,,
,,
