Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
24,767791,0
501,1727644,40418
1011,2177304,490078
1502,3841299,2154073
2007,5481359,3794133
2506,4763160,3075934
3008,3552145,1864919
3511,2427964,740738
4014,2581503,894277
4517,1944893,257667
5026,990307,0
5530,947891,0
6049,62751,0
6557,87973,0
7018,90195,0
7499,820194,0
8002,628972,0
8521,63128,0
9027,67931,0
9530,74050,0
10043,69672,0
10548,141502,0
11026,920255,0
11533,301246,0
12036,171584,0
12546,158512,0
13055,59222,0
13558,64502,0
14061,60963,0
14513,56609,0
15015,59222,0
15503,546148,0
16021,67469,0
16532,76232,0
17035,95937,0
17538,75878,0
18029,548570,0
18550,158855,0
19054,119390,0
19541,967962,0
20055,60104,0
20560,60092,0
21064,64447,0
21570,77511,0
22071,67060,0
22528,52254,0
23041,78001,0
23540,72422,0
24043,93733,0
24546,65318,0
25064,85922,0
25567,78736,0
26075,81920,0
26582,83744,0
27086,122108,0
27541,106339,0
28045,88806,0
28552,70543,0
29054,103776,0
29561,84776,0
30065,90507,0
30570,70543,0
31078,73156,0
31559,1438545,0
32086,325953,0
32586,280897,0
33095,90385,0
33545,101731,0
34055,106007,0
34565,79252,0
35064,105186,0
35571,92736,0
36075,111519,0
36575,271072,0
,,
,,
