Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,1154919,638105
496,1255012,738198
993,1359206,842392
1500,1583241,1066427
2006,3108655,2591841
2510,840761,323947
3014,966151,449337
3519,2457392,1940578
4018,4393603,3876789
4517,4477207,3960393
5017,4497336,3980522
5519,4225015,3708201
6020,2727712,2210898
6522,2939106,2422292
7026,1375517,858703
7536,1326242,809428
8040,87985,0
8514,107776,0
9014,91501,0
9517,191519,0
10013,377567,0
10525,107117,0
11031,135968,0
11522,931955,415141
12023,844997,328183
12525,562726,45912
13026,275485,0
13529,359330,0
14029,61869,0
14537,188359,0
15047,139086,0
15544,189015,0
16055,74898,0
16545,641644,124830
17058,59222,0
17500,259372,0
18002,534093,17279
18517,90385,0
19014,282885,0
19512,493713,0
20019,249523,0
20535,66189,0
21027,275788,0
21530,478437,0
22046,69672,0
22548,75769,0
23049,379489,0
23558,59233,0
24059,117421,0
24567,61834,0
25061,275659,0
25525,77511,0
26017,226540,0
26520,433869,0
27025,302277,0
27538,85922,0
28038,222721,0
28556,71414,0
29039,717009,200195
29548,242956,0
30047,1092798,575984
30564,846866,330052
31056,1347544,830730
31570,1660419,1143605
32054,1289523,772709
32508,1181955,665141
33009,1250031,733217
33513,973987,457173
34016,1153443,636629
34521,147576,0
35027,1316915,800101
35528,1156941,640127
36033,1340656,823842
36534,1911423,1394609
,,
,,
