Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
35,324201,0
481,738519,406970
990,939282,607733
1485,1885734,1554185
1991,2502362,2170813
2494,1993286,1661737
2999,2122347,1790798
3517,2602744,2271195
4007,2007626,1676077
4510,2316889,1985340
5015,1685920,1354371
5515,1549688,1218139
6021,1893853,1562304
6524,1792523,1460974
7023,1419678,1088129
7528,1269106,937557
8044,66597,0
8499,63576,0
8988,817390,485841
9506,43545,0
10010,55357,0
10516,63576,0
11003,917772,586223
11509,494736,163187
12010,703584,372035
12518,154597,0
13026,244363,0
13536,49911,0
14020,566437,234888
14540,45532,0
15043,63576,0
15544,74082,0
16048,60963,0
16554,64066,0
17007,74027,0
17512,65917,0
18019,67931,0
18517,155519,0
19026,92644,0
19528,65318,0
20033,63413,0
20542,56854,0
21044,73456,0
21545,75879,0
22052,82404,0
22557,59222,0
23063,63576,0
23512,100431,0
24022,73592,0
24529,60963,0
25035,61834,0
25537,61834,0
26042,70162,0
26548,82605,0
27055,86158,0
27560,56365,0
28064,104509,0
28567,423073,91524
29075,52254,0
29533,66189,0
30037,64447,0
30538,83275,0
31042,93864,0
31554,64829,0
32036,1462699,1131150
32559,55738,0
33060,76640,0
33567,63332,0
34064,131220,0
34575,58351,0
35080,72285,0
35537,69482,0
36042,89269,0
36550,74027,0
37034,881921,550372
,,
,,
