Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,68464,0
479,1401225,1048196
973,1388753,1035724
1476,1088082,735053
1979,1541983,1188954
2482,2048122,1695093
2983,3362757,3009728
3488,2727516,2374487
3991,2660538,2307509
4498,3642680,3289651
4997,3677526,3324497
5522,3184795,2831766
6014,2157436,1804407
6467,2135926,1782897
6971,2757679,2404650
7471,2476004,2122975
7976,1664395,1311366
8483,1353789,1000760
8989,88099,0
9501,175511,0
10019,71861,0
10505,838901,485872
11012,1329818,976789
11508,1165013,811984
12008,647926,294897
12513,1557123,1204094
13019,1123480,770451
13522,1061017,707988
14030,1295719,942690
14524,1249192,896163
15027,1032493,679464
15478,1311970,958941
15977,874751,521722
16480,1003656,650627
16983,1089854,736825
17484,1321050,968021
17986,1218915,865886
18488,1308306,955277
18990,345856,0
19501,282578,0
20009,61834,0
20506,215456,0
21032,650568,297539
21520,88180,0
22019,212932,0
22517,587947,234918
23021,169631,0
23532,80342,0
24024,673831,320802
24525,408695,55666
25031,258066,0
25546,67931,0
25995,126828,0
26499,132840,0
26996,835237,482208
27500,1358654,1005625
28002,934834,581805
28508,1240269,887240
29006,1162837,809808
29509,1200912,847883
30015,1179402,826373
30522,1369487,1016458
31013,1562189,1209160
31516,1451414,1098385
32019,1297787,944758
32520,1267196,914167
33025,1329974,976945
33526,1243932,890903
34027,1376501,1023472
34528,1301293,948264
35032,1182281,829252
35535,1132874,779845
36039,482149,129120
36543,434142,81113
37006,946131,593102
37500,1189180,836151
38034,1126870,773841
,,
,,
,,
