Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1035275,652993
501,957521,575239
1003,1435363,1053081
1509,2270983,1888701
2007,3977531,3595249
2508,3010830,2628548
3013,3722552,3340270
3517,3651463,3269181
4023,2392117,2009835
4518,2323623,1941341
5026,1636608,1254326
5529,1400995,1018713
6028,1760647,1378365
6531,2120498,1738216
7036,2544314,2162032
7539,2444004,2061722
7995,3801096,3418814
8497,2617824,2235542
9000,3147303,2765021
9496,2647159,2264877
10003,1951319,1569037
10505,1503246,1120964
11039,128026,0
11523,733287,351005
12015,854978,472696
12521,343231,0
13021,112013,0
13539,105606,0
14027,421855,39573
14534,139234,0
15033,1040632,658350
15534,1203634,821352
16050,37449,0
16549,17418,0
17043,451559,69277
17558,29611,0
18058,69204,0
18517,28740,0
19025,33094,0
19528,40932,0
20037,39202,0
20541,33094,0
21046,25256,0
21552,28359,0
22057,31352,0
22562,28740,0
23066,36578,0
23574,42674,0
24031,36578,0
24532,38320,0
25038,27869,0
25544,33965,0
26055,39861,0
26564,56547,0
27074,27869,0
27583,84554,0
28091,30481,0
28596,107009,0
29054,35517,0
29563,34836,0
30072,48508,0
30579,52862,0
31069,530586,148304
31577,598624,216342
32102,68441,0
32545,495323,113041
33075,58620,0
33564,62512,0
34080,40061,0
34587,45757,0
35099,40932,0
35605,41872,0
36067,31352,0
36557,625039,242757
,,
,,
,,
,,
