Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,1152463,827241
503,1668686,1343464
1000,1472752,1147530
1503,1823793,1498571
2015,2846973,2521751
2505,3713206,3387984
3007,3797952,3472730
3509,2315807,1990585
4015,1365648,1040426
4522,589285,264063
5027,618810,293588
5525,1744274,1419052
6030,2275542,1950320
6541,1365282,1040060
7048,1172500,847278
7539,2024670,1699448
8042,1849008,1523786
8559,181146,0
9008,335739,10517
9501,870774,545552
10025,108863,0
10528,111015,0
11034,110656,0
11523,696700,371478
12019,844909,519687
12521,351296,26074
13027,469248,144026
13539,109377,0
14028,496710,171488
14544,108320,0
15048,133904,0
15549,111587,0
16043,515251,190029
16544,703168,377946
17042,1464300,1139078
17564,1180564,855342
18052,1935577,1610355
18519,1199341,874119
19025,1194307,869085
19529,1160110,834888
20032,1128400,803178
20546,1181340,856118
21038,1159239,834017
21539,1165718,840496
22047,1183190,857968
22552,1160436,835214
23039,1569695,1244473
23564,111829,0
24064,105501,0
24567,110605,0
25073,100087,0
25574,100917,0
26082,116077,0
26533,142512,0
27036,119300,0
27543,122893,0
28043,163620,0
28552,111559,0
29056,100154,0
29563,96671,0
30067,123480,0
30570,101080,0
31071,162572,0
31583,121992,0
32077,179820,0
32581,118282,0
33080,186596,0
33589,83553,0
34045,99828,0
34547,141715,0
35052,111587,0
35560,100154,0
36060,129441,0
36550,908831,583609
,,
,,
