Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
33,1635985,993845
490,1777835,1135695
987,2319531,1677391
1490,4476161,3834021
1994,4317905,3675765
2498,1428722,786582
3011,258988,0
3545,41815,0
4043,76329,0
4556,43627,0
5014,51922,0
5524,37449,0
6029,48771,0
6526,519753,0
7048,25267,0
7564,24385,0
8004,150736,0
8528,22643,0
9033,30481,0
9544,34564,0
10051,44416,0
10553,36177,0
11063,23623,0
11566,48840,0
12047,1120697,478557
12553,495739,0
13010,63896,0
13518,48651,0
14022,22643,0
14523,18289,0
15030,26127,0
15530,22643,0
16034,19160,0
16535,22643,0
17038,27869,0
17542,54466,0
18050,24984,0
18557,33094,0
19062,34673,0
19565,35707,0
20075,28740,0
20528,36578,0
21034,24385,0
21538,33965,0
22044,38320,0
22549,34836,0
23056,26127,0
23561,34836,0
24065,39191,0
24570,30481,0
25077,25256,0
25581,36578,0
26093,66666,0
26549,38320,0
27055,71232,0
27567,27706,0
28071,72493,0
28580,23514,0
29093,38320,0
29598,32223,0
30054,33965,0
30559,47900,0
31065,36034,0
31574,138658,0
32077,38965,0
32589,126627,0
33100,54936,0
33600,40061,0
34110,59429,0
34568,40932,0
35076,59629,0
35586,48038,0
36094,39191,0
36600,582111,0
,,
,,
,,
