Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
104,556765,0
497,915420,180618
996,1737752,1002950
1495,2474128,1739326
2005,2955863,2221061
2499,3163959,2429157
3002,1890794,1155992
3517,261436,0
4029,508762,0
4527,498243,0
5030,447738,0
5533,754613,19811
6065,30481,0
6520,84651,0
7030,57560,0
7539,25256,0
8051,49911,0
8565,44285,0
9058,142663,0
9571,71495,0
10032,36796,0
10540,47029,0
11045,29611,0
11545,43685,0
12027,963347,228545
12533,316500,0
13035,67403,0
13538,131415,0
14051,26998,0
14555,29611,0
15059,22643,0
15563,48885,0
16066,24867,0
16565,41872,0
17064,131507,0
17563,423035,0
18066,760841,26039
18535,911802,177000
19036,1080857,346055
19541,1090437,355635
20042,1086082,351280
20550,1100888,366086
21047,1086953,352151
21554,911681,176879
22061,1112818,378016
22565,1081728,346926
23064,1092178,357376
23573,1108062,373260
24080,1102629,367827
24586,1073901,339099
25077,535183,0
25589,423638,0
26053,39489,0
26558,32904,0
27068,34836,0
27566,22643,0
28056,274285,0
28583,35175,0
29092,55275,0
29599,69880,0
30104,57217,0
30566,28087,0
31076,32223,0
31582,40932,0
32071,630968,0
32596,34246,0
33103,37589,0
33614,34836,0
34072,28740,0
34584,29611,0
35087,43013,0
35598,38790,0
36102,31352,0
36602,328245,0
,,
,,
