Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
48,1518462,784132
497,1899727,1165397
996,2152356,1418026
1499,3700161,2965831
2003,2215957,1481627
2528,131681,0
3041,47534,0
3549,45826,0
4058,44607,0
4514,46158,0
5023,33965,0
5529,37449,0
6048,39191,0
6543,76995,0
7053,29611,0
7565,29611,0
8006,322675,0
8540,17908,0
9046,30103,0
9556,33094,0
10066,33094,0
10577,31352,0
11084,31352,0
11533,110160,0
12053,44498,0
12525,1177509,443179
13029,814383,80053
13542,630942,0
14033,913656,179326
14552,20042,0
15050,16547,0
15554,33094,0
16058,43545,0
16559,29611,0
17063,32223,0
17569,27880,0
18076,26481,0
18580,26138,0
19085,29210,0
19590,34836,0
20103,30551,0
20556,26127,0
21065,45287,0
21563,36578,0
22067,43614,0
22577,33094,0
23078,28740,0
23586,26127,0
24095,30481,0
24598,39408,0
25100,27869,0
25557,40932,0
26061,34435,0
26575,35707,0
27084,41603,0
27591,34836,0
28101,36551,0
28606,35506,0
29119,30481,0
29568,27869,0
30075,31352,0
30585,38320,0
31090,82342,0
31597,132655,0
32103,46967,0
32608,59222,0
33072,47591,0
33581,53125,0
34089,45425,0
34599,32223,0
35107,26127,0
35616,31352,0
36123,53125,0
36627,559274,0
,,
,,
