Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
475,610036,68005
973,701069,159038
1475,972043,430012
1978,2678830,2136799
2480,2904933,2362902
2981,2019943,1477912
3485,1516067,974036
3999,1092236,550205
4509,158243,0
5014,103031,0
5519,57537,0
5975,48839,0
6482,171396,0
6989,47957,0
7498,49733,0
8006,48794,0
8513,33999,0
9014,407963,0
9523,58177,0
10031,54042,0
10488,45344,0
10996,35730,0
11503,49699,0
12001,905168,363137
12504,129506,0
13007,61425,0
13510,17487,0
14011,40330,0
14514,27949,0
15016,207039,0
15515,940740,398709
16017,844300,302269
16521,1105557,563526
17022,1357944,815913
17528,1072147,530116
18035,1113238,571207
18487,1098432,556401
18991,435337,0
19495,760867,218836
20000,1095662,553631
20503,1107141,565110
21007,1092178,550147
21511,1117907,575876
22013,1111653,569622
22517,1212440,670409
23026,498052,0
23531,30527,0
24037,51452,0
24542,43580,0
25000,50558,0
25506,31375,0
26016,35741,0
26522,41838,0
27032,27021,0
27539,34870,0
28047,33140,0
28554,34870,0
29011,34882,0
29521,33988,0
30028,41838,0
30537,34870,0
31044,43602,0
31549,47132,0
32054,39213,0
32561,59336,0
33070,41826,0
33531,36647,0
34029,892598,350567
34532,831574,289543
35038,958882,416851
35541,743779,201748
36049,34870,0
36556,40096,0
37054,606654,64623
,,
,,
