Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
70,1008824,424910
494,854151,270237
993,1887737,1303823
1497,2848160,2264246
2020,1337152,753238
2524,180196,0
3033,47982,0
3540,26998,0
4054,67668,0
4534,938968,355054
5042,570527,0
5560,91853,0
6016,46628,0
6526,36589,0
7033,35306,0
7541,36578,0
8026,349090,0
8558,24263,0
9045,375287,0
9570,33765,0
10037,32223,0
10535,37919,0
11044,51383,0
11526,713825,129911
12027,151549,0
12533,130584,0
13035,81545,0
13555,14805,0
14051,19160,0
14556,28740,0
15057,24385,0
15566,39940,0
16063,19649,0
16569,63313,0
17072,19160,0
17576,22643,0
18034,27869,0
18539,35707,0
19046,69140,0
19547,27869,0
20052,27869,0
20556,40061,0
21062,23514,0
21568,30481,0
22074,32223,0
22582,26998,0
23087,37694,0
23542,32332,0
24048,36578,0
24549,39191,0
25056,34836,0
25566,32223,0
26073,27869,0
26580,32223,0
27090,32958,0
27594,39191,0
28111,61772,0
28567,38918,0
29063,82142,0
29573,36578,0
30079,37718,0
30591,40932,0
31093,96885,0
31599,235674,0
32057,60253,0
32550,544770,0
33070,62018,0
33573,59141,0
34087,57818,0
34594,47029,0
35105,36578,0
35612,33094,0
36119,42511,0
36555,670398,86484
,,
,,
