Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,909044,696886
489,1515984,1303826
989,556369,344211
1492,2421588,2209430
1998,3297356,3085198
2505,4466528,4254370
3001,3070470,2858312
3500,2135014,1922856
4017,692725,480567
4535,45298,0
5028,617114,404956
5544,63182,0
6054,47040,0
6513,55738,0
7029,114458,0
7528,37449,0
8028,98906,0
8550,33094,0
9055,29210,0
9555,80353,0
10016,48370,0
10529,24185,0
11037,56678,0
11522,627304,415146
12023,517373,305215
12526,114123,0
13032,68610,0
13543,22643,0
14044,41803,0
14547,40932,0
15049,24385,0
15552,45287,0
16055,22643,0
16565,25256,0
17069,39191,0
17521,20901,0
18025,36578,0
18528,34836,0
19034,34836,0
19539,21772,0
20045,23514,0
20550,36578,0
21055,24385,0
21560,40932,0
22065,24385,0
22570,29611,0
23026,22643,0
23530,23514,0
24020,372844,160686
24541,30481,0
25047,25256,0
25550,36578,0
26066,34836,0
26572,40531,0
27083,50312,0
27591,34836,0
28052,39653,0
28556,37449,0
29064,46158,0
29566,36578,0
30076,35969,0
30582,35707,0
31089,40932,0
31596,42674,0
32099,42674,0
32555,39213,0
33065,35707,0
33571,27869,0
34079,47969,0
34590,33564,0
35098,34349,0
35605,41603,0
36064,40689,0
36547,517488,305330
,,
,,
,,
