Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
42,424187,0
491,696895,0
993,1279156,0
1493,2265765,0
1996,1760137,0
2508,920075,0
3040,235573,0
3539,86565,0
4044,1012822,0
4548,1178858,0
5038,709082,0
5546,299220,0
6065,159721,0
6509,216914,0
7036,78411,0
7543,33094,0
8037,487566,0
8558,23514,0
9062,153771,0
9573,34836,0
10029,44015,0
10537,26127,0
11047,41803,0
11556,47047,0
12063,37449,0
12539,948461,0
13047,158199,0
13550,49870,0
14054,65103,0
14568,35764,0
15068,23526,0
15571,34836,0
16073,24385,0
16575,26127,0
17076,24385,0
17583,30481,0
18039,39191,0
18545,25256,0
19032,544927,0
19551,32292,0
20063,35707,0
20566,41402,0
21074,26998,0
21576,32223,0
22082,21772,0
22587,21772,0
23095,37776,0
23552,49641,0
24053,30481,0
24559,37449,0
25063,29611,0
25568,27869,0
26073,22643,0
26583,42273,0
27096,26998,0
27600,54805,0
28060,67938,0
28568,33965,0
29078,33094,0
29582,26998,0
30092,34610,0
30597,44525,0
31103,39191,0
31598,1261936,0
32069,33587,0
32564,304207,0
33087,34836,0
33591,74520,0
34104,44471,0
34609,50181,0
35114,50049,0
35572,65256,0
36079,53063,0
36578,357124,0
,,
,,
