Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1300258,777069
497,777822,254633
998,1486494,963305
1499,2228463,1705274
2000,3784733,3261544
2505,3148647,2625458
3007,1512495,989306
3532,1054257,531068
4027,1577072,1053883
4523,565966,42777
5040,138899,0
5567,35475,0
6014,38965,0
6510,249746,0
7015,938184,414995
7526,753827,230638
8033,1175145,651956
8532,1098745,575556
9029,1355059,831870
9541,1119177,595988
10042,1067478,544289
10556,960053,436864
11057,1114266,591077
11538,1462631,939442
12040,1492449,969260
12541,1126925,603736
13045,1124161,600972
13498,1051212,528023
14011,226982,0
14512,75185,0
15025,38960,0
15532,43519,0
16036,23514,0
16539,52254,0
17044,25256,0
17548,27869,0
18053,144535,0
18558,30481,0
19062,29611,0
19569,35707,0
20075,27869,0
20531,46158,0
21035,33094,0
21539,33965,0
22046,24385,0
22549,33094,0
23055,26998,0
23561,32223,0
24065,42674,0
24571,22643,0
25071,59940,0
25590,32223,0
26052,29611,0
26558,60431,0
27070,32223,0
27583,26127,0
28090,37248,0
28598,31152,0
29060,30481,0
29565,39191,0
30069,31352,0
30576,33094,0
31087,31570,0
31592,122282,0
32102,57148,0
32607,31352,0
33062,22643,0
33571,46427,0
34080,33965,0
34586,32223,0
35093,71280,0
35604,29611,0
36112,26998,0
36604,559267,36078
37068,835838,312649
,,
