Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,381346,0
501,650411,133343
1005,1687268,1170200
1503,2407715,1890647
2005,3588272,3071204
2508,3930620,3413552
3009,2837939,2320871
3519,1688535,1171467
4039,528556,11488
4542,506361,0
5056,56277,0
5549,1257556,740488
6063,1158126,641058
6517,1115693,598625
7021,1091308,574240
7528,1139215,622147
8036,1115639,598571
8525,1605753,1088685
9018,1186625,669557
9521,1113951,596883
10024,1140236,623168
10529,1400041,882973
11052,1108012,590944
11558,156319,0
12047,911523,394455
12552,155779,0
13008,80211,0
13510,79792,0
14025,13934,0
14527,30481,0
15029,26998,0
15532,33965,0
16033,19160,0
16536,30427,0
17039,29367,0
17547,35707,0
18050,27869,0
18559,29611,0
19062,22643,0
19563,151435,0
20073,27869,0
20529,30481,0
21038,35707,0
21550,46158,0
22031,433712,0
22547,29611,0
23056,35707,0
23557,23514,0
24060,31352,0
24568,37449,0
25077,38320,0
25575,23514,0
26088,38320,0
26545,29611,0
27056,31543,0
27557,49711,0
28065,53934,0
28575,46497,0
29090,33312,0
29595,42543,0
30054,39260,0
30561,47029,0
31062,44462,0
31554,1147215,630147
32081,24397,0
32575,364051,0
33092,42674,0
33604,42674,0
34061,44485,0
34570,34732,0
35076,29611,0
35589,27842,0
36096,30100,0
36579,772911,255843
,,
,,
