Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,1522740,1112998
489,765974,356232
994,712925,303183
1503,3283881,2874139
2000,2997960,2588218
2507,2402331,1992589
3004,2111166,1701424
3508,4228703,3818961
4021,5986685,5576943
4519,1806599,1396857
5013,529736,119994
5517,1370690,960948
6031,1111688,701946
6539,142497,0
7050,61995,0
7500,44462,0
8006,60253,0
8510,73008,0
9015,612897,203155
9523,71563,0
10034,59405,0
10542,34859,0
11049,30516,0
11556,66338,0
12005,661388,251646
12509,449587,39845
13012,100344,0
13516,117273,0
14018,27960,0
14521,25302,0
15023,72746,0
15526,24419,0
16028,22689,0
16531,41047,0
17034,27938,0
17540,47969,0
18047,40165,0
18552,62797,0
19058,43614,0
19562,39259,0
20020,41895,0
20522,47991,0
21025,46296,0
21530,44519,0
22035,36647,0
22541,36670,0
23047,40978,0
23551,44450,0
24057,53194,0
24561,45413,0
25066,51498,0
25572,40130,0
26026,37495,0
26532,45379,0
27037,53217,0
27541,42720,0
28047,43625,0
28553,52392,0
29059,63714,0
29570,41001,0
30075,50616,0
30580,39225,0
31035,63737,0
31541,53217,0
32047,48874,0
32551,46261,0
33058,43614,0
33564,60242,0
34070,34882,0
34576,55899,0
35085,47946,0
35591,49722,0
36040,83139,0
36545,234645,0
,,
,,
