Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
37,405183,0
494,857746,426596
986,1418347,987197
1488,2508072,2076922
1991,3065721,2634571
2491,3154944,2723794
2996,3185765,2754615
3504,814487,383337
4012,1209802,778652
4538,371519,0
5044,53676,0
5550,76754,0
6055,61373,0
6512,80285,0
7017,41826,0
7527,45425,0
8031,53996,0
8537,67868,0
9049,27468,0
9555,31249,0
10050,246240,0
10524,24494,0
11032,66216,0
11525,254174,0
12017,540110,108960
12519,115027,0
13022,62143,0
13537,18312,0
14041,20901,0
14540,43947,0
15045,33094,0
15547,33094,0
16050,22643,0
16552,19160,0
17066,42342,0
17565,26127,0
18070,22643,0
18527,33693,0
19031,33094,0
19532,32223,0
20038,28740,0
20544,33965,0
21053,26998,0
21556,30318,0
22062,30481,0
22569,22643,0
23071,37449,0
23576,27869,0
24025,82620,0
24534,61560,0
25041,22643,0
25547,33094,0
26056,27869,0
26568,51321,0
27078,48226,0
27586,68338,0
28046,34836,0
28553,36578,0
29060,32023,0
29576,35707,0
30085,26797,0
30588,42674,0
31093,36377,0
31586,1097024,665874
32057,26998,0
32548,285638,0
33071,44634,0
33576,53748,0
34080,47982,0
34591,37803,0
35099,59560,0
35606,31352,0
36060,43545,0
36552,274696,0
,,
,,
