Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
12,1679089,1113430
491,1178296,612637
992,1548166,982507
1495,1465963,900304
2000,3233691,2668032
2494,1769292,1203633
3012,1858811,1293152
3516,1709005,1143346
4016,1512145,946486
4524,1249497,683838
5023,3029872,2464213
5533,3021334,2455675
6026,2352762,1787103
6534,1492921,927262
6987,1179185,613526
7500,148306,0
8008,42686,0
8538,40346,0
9028,650411,84752
9549,73529,0
10054,69009,0
10575,75248,0
11071,80331,0
11509,324155,0
12006,900654,334995
12509,126143,0
13014,56610,0
13528,21795,0
14030,37449,0
14532,17418,0
15030,81000,0
15539,30481,0
16048,21255,0
16545,27869,0
17049,47900,0
17553,39191,0
18060,31352,0
18565,33094,0
19070,54867,0
19528,28849,0
20030,39191,0
20518,580777,15118
21037,29611,0
21543,35707,0
22050,39191,0
22554,33965,0
23057,35707,0
23564,41803,0
24070,54076,0
24575,42593,0
25079,31352,0
25533,37919,0
26051,37558,0
26554,43144,0
27061,157586,0
27571,33094,0
28074,27869,0
28589,34836,0
29096,42073,0
29554,37449,0
30061,40932,0
30563,41803,0
31066,34836,0
31574,43545,0
32084,35707,0
32594,38859,0
33103,36306,0
33559,43545,0
34060,259324,0
34576,26998,0
35088,51252,0
35594,41402,0
36102,49276,0
36604,444603,0
,,
,,
