Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,408134,0
488,820740,359440
987,1094159,632859
1493,1764367,1303067
1995,1851162,1389862
2509,2920230,2458930
2996,3831192,3369892
3496,3163450,2702150
4000,2965287,2503987
4502,1883063,1421763
5010,1479152,1017852
5514,1063766,602466
6023,368260,0
6545,55807,0
7006,43654,0
7493,715013,253713
7993,541263,79963
8524,13946,0
9022,124483,0
9534,498987,37687
10043,112405,0
10556,78485,0
11004,55749,0
11503,71415,0
11992,556678,95378
12496,128215,0
12998,75207,0
13499,113220,0
14013,11321,0
14516,33094,0
15019,24385,0
15523,26127,0
16025,27869,0
16527,20901,0
17035,37503,0
17538,29611,0
18043,67768,0
18550,47029,0
19043,269222,0
19507,40061,0
20013,27869,0
20516,40061,0
21022,33965,0
21527,25256,0
22032,32223,0
22537,24385,0
23046,27869,0
23550,30481,0
24054,56785,0
24559,32223,0
25063,26127,0
25522,43058,0
26034,32292,0
26544,62242,0
27049,36578,0
27556,60901,0
28066,41803,0
28572,30481,0
29078,60701,0
29539,45425,0
30053,37518,0
30557,45826,0
31044,767200,305900
31546,835237,373937
32076,41924,0
32558,393973,0
33088,48181,0
33542,62843,0
34046,43614,0
34556,29611,0
35066,39059,0
35575,49040,0
36083,37518,0
36584,433193,0
,,
,,
,,
