Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,1035163,163877
500,947174,75888
995,1345744,474458
1497,2275716,1404430
2004,4102186,3230900
2506,3249413,2378127
3019,1590243,718957
3521,1586821,715535
4026,2292439,1421153
4528,2347527,1476241
5033,1717064,845778
5539,1062933,191647
6037,1914741,1043455
6503,1547547,676261
7014,1134297,263011
7527,68974,0
8022,509076,0
8546,52203,0
9045,143845,0
9537,353688,0
10064,16547,0
10521,28849,0
11032,40061,0
11537,55738,0
12029,724179,0
12524,370552,0
13027,116214,0
13531,144868,0
14051,26161,0
14548,26998,0
15050,25256,0
15555,40932,0
16055,27869,0
16557,20901,0
17064,28740,0
17567,57217,0
18075,44416,0
18526,24385,0
19035,20901,0
19540,25256,0
20049,39354,0
20557,43815,0
21058,48600,0
21568,33094,0
22077,38076,0
22577,27869,0
23033,33965,0
23544,27869,0
24036,180527,0
24547,33965,0
25053,33965,0
25558,33965,0
26066,28539,0
26573,26127,0
27085,22643,0
27540,32223,0
28049,41803,0
28552,37449,0
29063,49641,0
29570,42743,0
30080,30481,0
30587,44686,0
31097,31352,0
31558,36306,0
32064,45287,0
32570,39191,0
33075,39861,0
33587,26127,0
34096,45369,0
34601,35707,0
35093,767200,0
35563,38970,0
36074,31352,0
36567,282508,0
,,
,,
,,
