Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1478934,903206
490,1161241,585513
988,2235927,1660199
1498,3129838,2554110
1990,4216044,3640316
2503,2532164,1956436
2995,3854758,3279030
3507,3290042,2714314
4018,1196220,620492
4516,1057319,481591
5026,494020,0
5530,324186,0
6037,1404282,828554
6543,1106113,530385
7049,1111339,535611
7557,1103500,527772
7997,1684330,1108602
8490,2310424,1734696
8991,1291522,715794
9495,1132555,556827
9998,1113238,537510
10504,1109597,533869
11009,1180927,605199
11512,1190979,615251
12022,2076802,1501074
12527,330324,0
13038,136900,0
13536,101493,0
14051,12192,0
14551,31822,0
15055,35707,0
15558,23514,0
16056,34034,0
16514,40932,0
17020,30563,0
17525,39191,0
18040,47969,0
18533,29611,0
19036,29611,0
19543,56678,0
20048,29210,0
20555,38320,0
21057,27869,0
21562,33965,0
22068,32223,0
22523,26127,0
23026,29611,0
23531,37449,0
24039,29611,0
24550,34836,0
25053,39714,0
25559,27869,0
26067,58758,0
26579,26998,0
27035,84955,0
27541,112392,0
28051,79087,0
28564,30481,0
29070,31352,0
29580,27869,0
30087,47298,0
30598,22643,0
31055,39408,0
31537,1398011,822283
32065,154441,0
32553,408934,0
33076,26127,0
33579,56263,0
34091,76847,0
34600,30951,0
35111,39260,0
35561,51945,0
36070,56678,0
36554,776767,201039
,,
,,
