Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,1317067,716990
497,658086,58009
989,1191956,591879
1492,2191731,1591654
1995,4058932,3458855
2497,2987791,2387714
2997,3762194,3162117
3508,3185447,2585370
4018,2271799,1671722
4520,2517973,1917896
5048,589056,0
5539,830980,230903
6027,1764169,1164092
6531,1924588,1324511
7054,1131232,531155
7510,62396,0
8001,451715,0
8522,19830,0
9029,100523,0
9517,236390,0
10046,39930,0
10558,54736,0
11061,79202,0
11544,661996,61919
12045,154669,0
12546,40441,0
13066,23537,0
13566,33374,0
14018,37449,0
14523,17418,0
15027,39191,0
15528,27869,0
16027,20030,0
16533,72223,0
17039,49641,0
17544,26998,0
18054,40061,0
18561,33802,0
19063,33965,0
19570,39191,0
20073,27107,0
20529,27869,0
21033,30481,0
21539,33094,0
22049,24890,0
22550,26998,0
23057,32223,0
23561,24385,0
24071,127196,0
24574,49364,0
25080,39661,0
25591,50381,0
26044,39087,0
26535,528622,0
27034,966079,366002
27558,1112617,512540
28059,1103257,503180
28570,1083469,483392
29076,1095061,494984
29582,1104371,504294
30090,870744,270667
30545,1102228,502151
31054,1083469,483392
31549,1089566,489489
32057,1094356,494279
32568,1093720,493643
33068,1093648,493571
33577,466137,0
34090,61843,0
34601,53865,0
35061,39661,0
35567,32894,0
36074,35707,0
36555,808745,208668
,,
,,
,,
