Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
47,412317,0
499,754746,202796
1000,1272384,720434
1506,2485964,1934014
2001,3626746,3074796
2504,2125420,1573470
3007,3387366,2835416
3509,4630336,4078386
4011,2703398,2151448
4513,2258612,1706662
5016,2713298,2161348
5524,2726773,2174823
6032,810694,258744
6514,67083,0
7021,53418,0
7527,64786,0
8011,871626,319676
8517,274950,0
9028,1152781,600831
9535,69968,0
10063,71545,0
10565,127047,0
11026,53996,0
11506,768121,216171
12012,211232,0
12517,78857,0
13022,248886,0
13533,25279,0
14032,29611,0
14533,43545,0
15037,41803,0
15539,90720,0
16043,20901,0
16549,45287,0
17054,40061,0
17561,52323,0
18069,36578,0
18573,53370,0
19023,44416,0
19527,47900,0
20042,44416,0
20531,82619,0
21044,44416,0
21548,52254,0
22056,31352,0
22560,38320,0
23063,44416,0
23570,35680,0
24075,51383,0
24581,42674,0
25040,48499,0
25547,74635,0
26056,77518,0
26560,94161,0
27054,98768,0
27579,124249,0
28084,70624,0
28585,44886,0
29097,51591,0
29552,65387,0
30065,37449,0
30569,69341,0
31077,75575,0
31567,1139731,587781
32089,50682,0
32589,118589,0
33101,46267,0
33559,61903,0
34065,80801,0
34570,61972,0
35078,75776,0
35578,237883,0
36088,174811,0
36572,1184329,632379
,,
,,
