Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,1038555,501646
511,419253,0
1027,910535,373626
1507,1615947,1079038
2011,2621556,2084647
2524,1846407,1309498
3019,557043,20134
3522,1338163,801254
4029,1993148,1456239
4530,1956664,1419755
5035,1846822,1309913
5529,3545737,3008828
6032,4581527,4044618
6541,2426343,1889434
7065,553227,16318
7546,2207791,1670882
7993,3260696,2723787
8497,2166036,1629127
9007,147903,0
9532,116095,0
10014,2037298,1500389
10510,2748094,2211185
11022,2773167,2236258
11515,1431462,894553
12017,1918440,1381531
12527,1749355,1212446
13027,752847,215938
13537,191160,0
14047,158963,0
14551,209301,0
15046,1075514,538605
15549,314055,0
16056,174504,0
16565,142313,0
17068,192621,0
17575,127262,0
18028,209673,0
18529,104455,0
19028,157338,0
19541,136952,0
20041,150533,0
20543,133443,0
21047,138612,0
21549,162917,0
22057,152189,0
22560,120185,0
23061,180171,0
23565,159569,0
24065,193046,0
24576,122962,0
25081,157990,0
25583,189596,0
26037,151758,0
26527,982302,445393
27045,150164,0
27554,155916,0
28066,166211,0
28562,164033,0
29071,167386,0
29574,175158,0
30077,160685,0
30578,148411,0
31081,172461,0
31585,208902,0
32074,1235143,698234
32581,1222174,685265
33044,1246060,709151
33550,1211469,674560
34047,1257015,720106
34558,1177528,640619
35056,1209237,672328
35563,1119907,582998
36069,1222627,685718
36555,1985768,1448859
,,
,,
,,
,,
